id,brand,car_model,type,desc,problem,datetime,status
514268,上汽大众,桑塔纳,2019款 1.5L 自动 风尚版 国VI,大众桑塔纳远光灯亮度低启停系统设计不合理,"H82,Q322,",2020-08-26,处理反馈
514266,东风日产,奇骏,2017款 2.0L CVT 舒适版 5座 2WD,东风日产奇骏天窗排水管堵塞导致漏水,"H90,",2020-08-26,处理反馈
514259,北汽银翔,幻速S6,2017款 1.5T 手动 智能型,北汽幻速S6发动机噪音大后视镜漆面变色,"A38,H201,H211,N318,O326,",2020-08-26,信息审核
514258,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动ABS故障灯报警时速表跳动,"E74,E62,H202,",2020-08-26,信息审核
514241,大众（进口）,夏朗,2017款 380TSI 旗舰型 7座,进口大众夏朗ABS泵损坏导致故障灯亮,"E74,",2020-08-26,信息审核
514236,北汽昌河,北汽昌河M50S,2019款 1.4L 商务舱 K14B-F 改款,北汽昌河M50S发动机无法提速4S店无配件,"A9,A24,A160,J298,N320,",2020-08-26,处理反馈
514231,东风乘用车,风神AX4,2018款 1.6L DCT 潮尚型 天窗版,东风风神AX4刹车盘生锈严重要求解决,"E42,",2020-08-26,处理反馈
514224,东风裕隆,优6 SUV,2015款 2.0T 智尊型,纳智捷优6 SUV发动机无法提速要求处理,"A9,A160,L314,",2020-08-26,厂家受理
514222,一汽丰田,亚洲龙,2019款 2.0L XLE 尊享版 国VI,一汽丰田亚洲龙变速箱异响希望厂家处理问题,"B33,",2020-08-26,信息审核
514221,上汽大众,途岳,2020款 280TSI 两驱 豪华版 国VI,上汽大众途岳后风挡出现裂痕4S店不予解决,"H113,I295,I281,",2020-08-26,处理反馈
514220,广汽本田,凌派,2019款 180Turbo CVT 舒适版 国VI,广汽本田凌派左后车窗突然爆裂厂家不保修,"H113,",2020-08-26,处理反馈
514208,华晨宝马,宝马5系,2020款 530Li 领先型 M运动套装,华晨宝马5系天窗B柱异响 底盘转向异响,"D59,G56,H15,H89,H82,",2020-08-26,信息审核
514206,上汽通用五菱,五菱宏光,2018款 1.5L S 经典款 基本型,上汽通用五菱宏光起步时变速箱异响,"B33,",2020-08-26,用户评分
514202,广汽本田,冠道,2017款 240TURBO CVT 两驱 精英版,广汽本田冠道发动机启动及过坑洼路面异响,"A9,",2020-08-26,处理反馈
514201,吉利新能源,星越新能源,2019款 400T 耀星者 纯电动续航56KM,吉利星越新能源车机互联功能失效,"H155,",2020-08-26,处理反馈
514199,一汽-大众,探岳GTE,2020款 1.4T 豪华型,一汽大众探岳GTE充电故障4S店补贴不兑现,"H340,I295,I293,L313,O353,",2020-08-26,处理反馈
514196,东风日产,奇骏,2019款 2.0L CVT 智联舒适版 5座 2WD,东风日产奇骏发动机噪音大自动熄火,"A38,A14,",2020-08-26,处理反馈
514191,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾后部悬挂高度低希望厂家处理,"G204,",2020-08-26,处理反馈
514187,一汽-大众,CC,2020款 330TSI 魅颜版 国V,一汽大众CC首保后发动机漏油 4S店不回复,"A12,I282,",2020-08-26,处理反馈
514186,东风标致,标致508,2015款 1.6THP 自动 致臻版,东风标致508进气管连接处严重受损,"H168,",2020-08-26,处理反馈
514184,一汽-大众,高尔夫,2016款 1.6L  自动 舒适型,一汽大众高尔夫变速箱故障灯报警要求处理,"B96,B184,",2020-08-26,用户评分
514174,广汽丰田,雷凌,2019款 185T CVT 豪华版 国V,广汽丰田雷凌转向异响4S店无法解决,"D59,",2020-08-26,处理反馈
514168,一汽-大众,迈腾,2019款 280TSI DSG 领先型 国V,一汽大众迈腾变速箱漏油希望厂家质保处理,"B22,",2020-08-26,处理反馈
514167,御捷新能源,御捷E驰,2017款 标准型,御捷E驰动力电池故障导致无法正常行驶,"H343,",2020-08-26,信息审核
514165,东风雷诺,雷诺e诺,2019款 e尚型,东风雷诺e诺厂家无配件导致无法维修车辆,"N318,",2020-08-26,信息审核
514163,北京现代,胜达,2013款 2.0T 自动 四驱 顶级型 TOP,北京现代胜达电子手刹抱死无法释放,"E159,",2020-08-26,信息审核
514159,东风启辰,启辰e30,2020款 精睿版,启辰e30空调制冷效果差维修未解决问题,"H101,",2020-08-26,信息审核
514157,一汽大众,捷达VS5,2019款 280TSI 自动 悦享型,捷达VS5涡轮增压器与车门铰链生锈,"H79,H109,",2020-08-26,处理反馈
514156,东风标致,标致308,2019款 230THP 自动 豪华版 国VI,东风标致308变速箱升挡异响希望厂家解决,"B33,",2020-08-26,处理反馈
514149,一汽-大众奥迪,奥迪A4L,2016款 2.0T CVT 舒适型 典藏版,一汽大众奥迪A4L发动机气门弹簧断裂,"A251,",2020-08-26,信息审核
514147,一汽大众,捷达VS5,2019款 280TSI 自动 悦享型,捷达VS5玲珑轮胎开裂希望厂家处理,"F100,",2020-08-26,信息审核
514140,上汽集团,名爵3,2013款 1.5L AMT 豪华版,上汽名爵3变速箱拨插头断裂希望厂家质保,"B77,H168,",2020-08-26,用户评分
514137,上汽大众,途观L,2017款 330TSI 两驱 旗舰版,上汽大众途观L车顶行李架变形天窗漏水,"H90,H179,",2020-08-26,处理反馈
514136,北京现代,悦纳,2020款 1.4L 手动 青春版GS,北京现代悦纳后保险杠车漆有凹凸感不光滑,"H81,I295,",2020-08-26,信息审核
514133,一汽-大众,速腾,2018款 1.6L 自动 舒适型,一汽大众速腾行驶过程中天窗和后轮出现异响,"G125,H89,",2020-08-26,用户评分
514132,上汽斯柯达,柯迪亚克GT,2019款 TSI330 两驱 豪华版 国VI,斯柯达柯迪亚克GT方向盘和油门抖动,"A174,D80,",2020-08-26,信息审核
514131,一汽-大众,迈腾,2019款 330TSI DSG 豪华型 国VI,一汽大众迈腾大灯进水4S店不予解决,"H88,",2020-08-26,信息审核
514128,宝沃汽车,宝沃BX5,2020款 20TGDI 自动 两驱新锐型,宝沃BX5冷车启动有异响希望尽快解决,"A9,",2020-08-26,处理反馈
514127,一汽-大众奥迪,奥迪Q5L,2020款 40 TFSI 荣享时尚型,一汽大众奥迪Q5L网关不防水设计有隐患,"Q322,",2020-08-26,信息审核
514126,华晨宝马,宝马3系,2020款 325i M运动套装,华晨宝马3系开空调时空气进气格栅异响,"H15,",2020-08-26,信息审核
514123,北京奔驰,奔驰C级,2019款 C 180 L 时尚型,北京奔驰C级发动机冷却液温度高,"A191,J298,",2020-08-26,信息审核
514118,一汽-大众,探岳,2019款 330TSI 两驱 豪华型Plus 国VI,一汽大众探岳座椅晃动异响有安全隐患,"H164,H169,",2020-08-26,用户评分
514115,东风标致,标致3008,2015款 2.0L 自动 潮流版,东风标致3008蓄电池充电或供电系统故障,"H110,",2020-08-26,处理反馈
514112,华晨宝马,宝马3系,2019款 320i M运动套装,华晨宝马3系右后尾灯卡扣断裂而且松动,"H220,",2020-08-26,信息审核
514111,陆风汽车,陆风X7,2015款 2.0T 全景尊享版,陆风X7变速箱挂挡顿挫 有时无法加速,"B19,B334,B84,",2020-08-26,信息审核
514110,一汽-大众,宝来,2020款 1.5L 自动 精英型,一汽大众宝来首保后行驶过程中顿挫,"B19,",2020-08-26,处理反馈
514105,东风日产,劲客,2017款 1.5L CVT 智领版,东风日产劲客副驾驶玻璃升降功能异常,"H67,H179,",2020-08-26,处理反馈
514104,吉利汽车,帝豪GL,2017款 1.3T 自动 精英型,吉利帝豪GL发动机漏油 减震器漏油,"A12,G25,",2020-08-26,处理反馈
514103,江淮汽车,江淮iEV6E,2017款 iEV6E,江淮iEV6E厂家无法提供DCDC配件进行更换,"A346,I294,N318,",2020-08-26,处理反馈
514100,吉利汽车,帝豪GL,2017款 1.8L 手动 精英型,吉利帝豪GL更换离合器泵后抖动气囊故障灯亮,"C87,H103,",2020-08-26,用户评分
514099,比亚迪,比亚迪S2,2019款 耀·舒适型,比亚迪S2行驶中动力电池突然没电要求解决,"H343,",2020-08-26,处理反馈
514098,东风标致,标致3008,2018款 2.0L 自动 经典版,东风标致3008右前转向球头变形要求解决,"D57,",2020-08-26,处理反馈
514096,长城汽车,哈弗M6,2018款 1.5T 手动 两驱 精英型,哈弗M6雨刷器无法使用影响行车安全,"H60,J298,",2020-08-26,处理反馈
514095,广汽三菱,欧蓝德,2018款 2.4L 四驱 精英版 5座,广汽三菱欧蓝德主驾座椅晃动4S店无法解决,"H169,I294,J298,",2020-08-26,厂家受理
514085,长城汽车,WEY VV5,2019款 2.0T 两驱 升级款超豪型 国V,WEY VV5变速箱异响发动机共振希望厂家处理,"A24,B33,B19,D80,",2020-08-26,信息审核
514081,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动离合器变速箱异响频繁无倒挡,"B33,B246,C65,",2020-08-26,信息审核
514080,一汽-大众奥迪,奥迪A6L,2020款 55 TFSI quattro 尊享动感型,一汽大众奥迪A6L新车仪表台开裂,"H168,M284,",2020-08-26,信息审核
514078,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯亮度低中控台和顶棚异响,"H164,H93,H82,",2020-08-26,处理反馈
514075,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国VI,一汽大众奥迪A4L高速行驶时变速器故障灯亮,"B96,B84,",2020-08-26,信息审核
514074,东风日产,楼兰,2017款 2.5T S/C HEV XE 四驱 混动尊尚版,东风日产楼兰油电切换时变速箱顿挫异响,"A9,B33,B19,",2020-08-26,处理反馈
514072,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408固特异轮胎出现开裂的现象,"F100,",2020-08-26,处理反馈
514071,广汽本田,雅阁,2006款 2.4 自动 豪华版,广汽本田雅阁远光灯无法关闭要求处理,"H71,",2020-08-26,处理反馈
514067,丰田（进口）,普拉多（进口）,2014款 2.7L 自动 豪华版 7座,进口丰田普拉多发动机号与登记证不一致,"O353,",2020-08-26,信息审核
514065,东风日产,轩逸,2019款 1.6XL CVT 豪华版 经典,东风日产轩逸变速箱故障4S店维修后未解决,"B96,B334,J298,",2020-08-26,用户评分
514064,北汽新能源,北汽新能源EX,2018款 EX360 新尚版,北汽新能源EX行驶跑偏 电池续航不准,"G117,H344,J298,K307,",2020-08-26,处理反馈
514061,东风本田,本田XR-V,2017款 1.5L LXi CVT 经典版,东风本田XR-V更换电磁阀后加速异响,"B33,",2020-08-26,用户评分
514060,东风日产,轩逸,2012款 1.6L XL CVT 豪华版,东风日产轩逸发动机异响 玻璃升降失效,"A9,H89,H67,H192,",2020-08-26,处理反馈
514058,长安汽车,长安欧尚CX70,2017款 CX70T 1.5T 手动 豪擎版 改款,长安欧尚CX70发动机无法启动希望厂家解决,"A44,",2020-08-26,信息审核
514051,一汽-大众,探岳,2020款 280TSI 两驱 豪华智联版,一汽大众探岳变速箱顿挫升降挡异响,"B33,B19,",2020-08-26,处理反馈
514040,东风日产,奇骏,2019款 2.0L CVT 智联舒适版 5座 2WD,东风日产奇骏C柱漏水希望厂家解决处理,"H109,",2020-08-26,处理反馈
514038,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾大灯发白亮度低影响行车安全,"H82,",2020-08-26,用户评分
514036,东风日产,轩逸,2019款 1.6XE CVT 舒适版 经典,东风日产轩逸机舱内前悬挂塔顶积水生锈,"H79,",2020-08-26,处理反馈
514035,一汽-大众奥迪,奥迪A6L新能源,2020款 55 TFSI e quattro,一汽大众奥迪A6L新能源新车发动机漏机油,"A12,",2020-08-26,信息审核
514033,一汽大众,捷达VS5,2019款 280TSI 手动 进取型,一汽大众捷达VS5变速箱打齿异响,"B33,",2020-08-26,处理反馈
514031,广汽丰田,凯美瑞,2019款 2.0G 豪华版 国V,广汽丰田凯美瑞主动刹车不灵敏 仪表不准确,"H202,H170,",2020-08-25,处理反馈
514030,长安汽车,长安CS85 COUPE,2019款 2.0T 自动 品版 国V,长安CS85 COUPE减震器漏油 车门异响,"G25,G210,H72,I295,",2020-08-25,厂家受理
514028,众泰汽车,众泰T300,2017款 1.5T CVT 尊享型,众泰T300售后服务站不予保修要求解决,"I297,",2020-08-25,信息审核
514023,海马汽车,海马M6,2015款 1.5T 手动 豪华型,海马M6车身多处生锈希望厂家处理问题,"H79,",2020-08-25,处理反馈
514022,吉利汽车,帝豪GS,2019款 1.4T CVT 雅,吉利帝豪GS承诺退订金未兑现希望厂家处理,"K309,",2020-08-25,处理反馈
514018,广汽丰田,雷凌,2021款 185T CVT 豪华版,广汽丰田雷凌车身色差严重要求给予处理,"H201,",2020-08-25,处理反馈
514017,上汽大众,凌渡,2019款 230TSI DSG 风尚版 国V,上汽大众凌渡变速箱拖挡顿挫异响严重,"A9,A35,B33,B19,",2020-08-25,处理反馈
514011,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动行驶中变速箱有拖挡现象,"B69,",2020-08-25,信息审核
514002,一汽-大众,迈腾,2020款 330TSI DSG 豪华型,一汽大众迈腾新车车身漏水要求给予处理,"H109,",2020-08-25,处理反馈
514001,猎豹汽车,Mattu,2018款 1.6T GDI DCT 精英型,猎豹Mattu变速箱无法加速4S店退网无售后,"B334,O326,",2020-08-25,信息审核
513996,Jeep（进口）,自由客,2014款 2.0L CVT 运动增强版 5座,进口Jeep自由客车内异味严重要求厂家解决,"H185,",2020-08-25,厂家受理
513994,一汽-大众,迈腾,2015款 1.8TSI 豪华型,一汽大众迈腾车内存在刺鼻的异味,"H185,",2020-08-25,处理反馈
513992,东风裕隆,优6 SUV,2015款 1.8T 智尊型,纳智捷优6 SUV厂家召回却一直没有货,"N318,",2020-08-25,厂家受理
513987,江淮汽车,瑞风S7,2017款 2.0T 手动 豪华型,江淮瑞风S7冷车刹车时出现异响,"E43,",2020-08-25,用户评分
513977,东风标致,标致308,2014款 乐享版 经典 1.6L 自动 优尚型,东风标致308方向盘抖动间隙大影响安全,"D337,",2020-08-25,信息审核
513976,东风本田,INSPIRE,2019款 锐·混动 2.0L 净越版 国V,东风本田INSPIRE转向异响多次维修未解决,"D59,",2020-08-25,用户评分
513975,上汽大众,朗逸,2019款 1.5L 自动 舒适版 国VI,上汽大众朗逸厂家提供赠送积分活动未兑现,"L313,",2020-08-25,处理反馈
513969,一汽-大众,高尔夫,2015款 1.6L 自动 舒适型,一汽大众高尔夫车内隔音棉异味无法解决,"H185,",2020-08-25,处理反馈
513966,一汽奔腾,奔腾X40,2018款 1.6L 自动 互联智享型 网红版,一汽奔腾X40发动机缸盖维修更换后漏油,"A12,A24,",2020-08-25,处理反馈
513965,广汽本田,皓影,2020款 240TURBO CVT 两驱 豪华版,广汽本田皓影底盘下摆臂连接件生锈,"H79,",2020-08-25,处理反馈
513964,华晨宝马,宝马X1,2016款 xDrive20Li 豪华型,华晨宝马X1维修发动机后出现多种故障,"J301,J303,",2020-08-25,信息审核
513963,猎豹汽车,Mattu,2018款 1.6T GDI DCT 舒适型,猎豹Mattu变速箱无法加速 发动机异响,"A9,B334,",2020-08-25,信息审核
513960,吉利汽车,帝豪GL,2020款 1.4T 手动 豪华型,吉利帝豪GL车型配置和减少要求厂家尽快处理,"Q350,",2020-08-25,处理反馈
513958,广汽本田,缤智,2019款 220 TURBO CVT 豪华版 国VI,广汽本田缤智镀铬装饰条腐蚀氧化严重,"H79,H81,",2020-08-25,信息审核
513957,上汽大众,朗行,2017款 1.6L 自动 风尚版,上汽大众朗行大灯龟裂 空调不制冷,"H101,H220,",2020-08-25,信息审核
513955,奔驰（进口）,奔驰A级（进口）,2011款 1.5L  CVT 160,进口奔驰A级仪表提示变速箱故障灯亮,"B96,B84,",2020-08-25,信息审核
513950,上汽大众,朗逸,2018款 1.5L 自动 舒适版 国V,上汽大众朗逸空调漏水漆面生锈严重,"H79,H101,",2020-08-25,用户评分
513949,一汽-大众奥迪,奥迪Q5,2017款 2.0T 40 TFSI 技术型,一汽大众奥迪Q5挂D挡时车身有抖动现象,"H268,",2020-08-25,信息审核
513943,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动发动机螺丝渗油车门锈蚀,"A12,H79,",2020-08-25,信息审核
513940,一汽丰田,RAV4荣放,2020款 2.0L CVT 四驱 风尚版,一汽丰田RAV4荣放发动机舱进泥浆,"Q322,",2020-08-25,信息审核
513936,一汽-大众,速腾,2017款 1.6L 自动 舒适型,一汽大众速腾动力不足 换挡顿挫 底盘异响,"A163,B19,G56,",2020-08-25,处理反馈
513929,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408发动机烧机油希望尽快处理,"A63,",2020-08-25,处理反馈
513925,广汽本田,奥德赛,2015款 2.4L 至尊版 改款,广汽本田奥德赛发动机异响VTC执行器损坏,"A9,",2020-08-25,处理反馈
513920,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾韩泰轮胎有裂缝希望厂家处理,"F100,",2020-08-25,处理反馈
513919,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳内饰板电镀层爆皮发动机怠速不稳,"A35,H81,",2020-08-25,处理反馈
513916,东风汽车,御风,2020款 2.3T 经济型 标配版 VAN车 短轴 中顶 3座 WP2.3,东风御风尿素泵故障4S无法提供配件,"H150,",2020-08-25,信息审核
513911,奇瑞汽车,瑞虎3,2014款 1.6L 手动 智尚版 5座,奇瑞瑞虎3车身多处生锈 车内异味严重,"H79,H185,",2020-08-25,处理反馈
513910,北京越野,北京BJ40,2019款 2.3T 自动 四驱 环塔冠军版 国VI,北京BJ40 1600-1900转时油门踏板共振,"A24,A174,B19,H268,",2020-08-25,处理反馈
513903,广汽丰田,丰田C-HR,2018款 2.0L 豪华天窗版 国VI,广汽丰田C-HR漆面起泡 油箱密封圈开裂,"H81,H168,",2020-08-25,处理反馈
513901,东风日产,劲客,2017款 1.5L CVT 智行版,东风日产劲客前挡风玻璃密封胶严重老化,"H168,",2020-08-25,处理反馈
513898,东风启辰,启辰T90,2018款 2.0L CVT 智联领尚版 国VI,启辰T90私自拆卸零件补贴未兑现不开发票,"E29,O353,",2020-08-25,信息审核
513897,北汽银翔,幻速S3L,2016款 1.5L 尊贵型,北汽幻速S3L天窗漏水 经销商无配件,"H90,N318,",2020-08-25,信息审核
513896,上汽大众,途岳,2019款 280TSI 两驱 风尚版 国V,上汽大众途岳发动机故障灯多次报警,"A34,J298,",2020-08-25,处理反馈
513895,东风雪铁龙,C4世嘉,2016款 1.6L 手动 豪华型,东风雪铁龙C4世嘉方向盘松动异响 ABS报警,"D59,D80,E74,",2020-08-25,处理反馈
513894,长城汽车,长城C50,2012款 1.5T 精英型,长城C50车身多处生锈发动机烧机油严重,"A63,G245,H79,H149,",2020-08-25,处理反馈
513888,大众（进口）,途锐,2020款 3.0TSI 锐享版 国VI,进口大众途锐发动机气门室盖垫处漏油,"A12,",2020-08-25,信息审核
513885,东风标致,标致308,2014款 乐享版 经典 1.6L 自动 优尚型,东风标致308变速箱顿挫希望尽快处理,"B19,",2020-08-25,处理反馈
513877,东风标致,标致2008,2020款 230THP 风尚天窗版,东风标致2008 4S店强制要求购买库存车,"K325,",2020-08-25,处理反馈
513876,沃尔沃亚太,沃尔沃S90,2020款 T5 智逸豪华版,沃尔沃亚太S90车内共振异响希望处理,"H268,H164,",2020-08-25,信息审核
513874,沃尔沃亚太,沃尔沃S60新能源,2015款 2.0T 智驭版 E驱混动,沃尔沃S60新能源空调压缩机故障导致不制冷,"H101,",2020-08-25,信息审核
513872,广汽丰田,汉兰达,2018款 2.0T 四驱 尊贵版 7座 国VI,广汽丰田汉兰达低速行驶变速箱顿挫异响,"B33,B19,",2020-08-25,处理反馈
513869,上汽大众,凌渡,2019款 230TSI DSG 视野版 国VI,上汽大众凌渡冷车行驶时刹车盘有异响,"E43,",2020-08-25,处理反馈
513861,北京现代,索纳塔九,2015款 1.6T 双离合 GLS智能型,北京现代索纳塔九导航黑屏死机要求更换,"H134,",2020-08-25,信息审核
513855,上汽大众,桑塔纳,2019款 1.5L 手动 风尚版 国VI,上汽大众桑塔纳发动机运转时噪音大,"A38,",2020-08-25,处理反馈
513854,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动变速箱异响失去动力要求处理,"B33,B334,G117,H79,I295,J298,",2020-08-25,处理反馈
513850,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度起动机故障导致启动困难,"A44,",2020-08-25,处理反馈
513849,广汽菲克菲亚特,致悦,2014款 1.4T 自动 舒适型,广汽菲亚特致悦行驶中变速箱失去动力,"B334,",2020-08-25,厂家受理
513845,吉利汽车,帝豪GL,2017款 1.8L 手动 精英型,吉利帝豪GL下雨天前车门无法解锁 把手掉漆,"H81,H68,H103,H197,",2020-08-25,处理反馈
513842,一汽大众,捷达VS5,2019款 280TSI 自动 进取型,捷达VS5玲珑轮胎开裂存在质量问题,"F100,",2020-08-25,处理反馈
513841,北京现代,悦动,2018款 1.6L 自动 悦目版 GL 国VI,北京现代悦动发动机出现启动困难,"A44,",2020-08-25,信息审核
513840,东风日产,逍客,2017款 2.0L CVT 精英版 国V,东风日产逍客行驶中变速箱顿挫4S店不予保修,"B19,I297,",2020-08-25,处理反馈
513838,广汽讴歌,讴歌CDX,2018款 2.0L 两驱 创享版 Hybrid,广汽讴歌CDX加速时动力电池异味要求解决,"Q322,",2020-08-25,用户评分
513835,广汽丰田,汉兰达,2018款 2.0T 四驱 豪华版 7座 国V,广汽丰田汉兰达挡把掉皮 挂挡时挡杆处异响,"B184,H179,",2020-08-25,处理反馈
513831,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动跑高速时岀现方向卡滞,"D123,",2020-08-25,处理反馈
513830,东风标致,标致4008,2019款 400THP 尝先版,东风标致4008续保押金到期不退还,"K309,",2020-08-25,用户评分
513824,东风日产,奇骏,2014款 2.0L XL CVT 两驱 舒适版,东风日产奇骏行驶中刹车过硬刹车失灵,"E29,E333,",2020-08-25,处理反馈
513823,一汽-大众,高尔夫,2011款 1.6 自动 舒适型,一汽大众高尔夫变速箱故障 离合器飞轮损坏,"B96,C17,",2020-08-25,处理反馈
513821,力帆汽车,轩朗,2017款 1.5T 自动 豪华型,力帆轩朗行驶中熄火全车断电 刹车方向失灵,"A14,B95,D59,G52,H67,",2020-08-25,信息审核
513818,东风汽车,御风,2020款 2.3T 经济型 标配版 物流车 短轴 中顶 5-9座 WP2.3,东风御风发动机气门折断4S店不予保修,"A251,I297,",2020-08-25,信息审核
513816,东风标致,标致408,2018款 350THP 自动 豪华版 改款,东风标致408固特异轮胎开裂要求厂家处理,"F100,",2020-08-25,处理反馈
513810,领克汽车,领克01,2017款 2.0T 自动 两驱 型,领克01倒车影像不显示 车机反馈不准确,"H134,H155,O348,",2020-08-25,处理反馈
513809,吉利汽车,远景X3,2020款 1.5L CVT 尊贵型,吉利远景X3车漆脱落行驶中突然熄火,"A14,H81,",2020-08-25,处理反馈
513808,长安汽车,长安UNI-T,2020款 1.5T 旗舰型,长安UNI-T经销商出售展车不予解决,"I295,M284,",2020-08-25,厂家受理
513806,东风日产,天籁,2019款 2.0L XL 舒适版,东风日产天籁减震器异响刹车异响变速箱顿挫,"B19,E43,G52,",2020-08-25,处理反馈
513805,长城汽车,哈弗H2s,2017款 1.5T 手动 精英型 蓝标,哈弗H2s中控台副驾侧鼓包严重要求处理,"H176,",2020-08-25,处理反馈
513804,一汽-大众奥迪,奥迪Q3,2019款 35 TFSI 进取动感型,一汽大众奥迪Q3安全带锁扣开裂要求解决,"H168,I297,",2020-08-25,信息审核
513802,上汽大众,途昂,2017款 380TSI 四驱 舒适版,上汽大众途昂后排座椅异响维修未解决,"H169,",2020-08-25,处理反馈
513794,一汽-大众,宝来,2019款 改款 1.5L 自动 舒适型 国VI,一汽大众宝来EPC故障灯亮 抖动 加速无力,"A24,A34,A160,",2020-08-25,处理反馈
513792,广汽丰田,汉兰达,2018款 2.0T 两驱 精英版 5座 国V,广汽丰田汉兰达4S店销售赠送贴膜不兑现,"K307,O353,",2020-08-25,用户评分
513790,长城汽车,炮,2019款 2.0T 商用版 手动 四驱 精英型 长箱 GW4D20M 柴油,长城炮变速箱低速四驱异响厂家不予解决,"B33,I295,",2020-08-25,厂家受理
513788,东风本田,思铂睿,2017款 2.0L CVT 经典版,东风本田思铂睿4S店售后承诺保养不兑现,"H146,J298,L314,",2020-08-25,处理反馈
513786,东风雷诺,科雷傲,2017款 2.5L 四驱 尊贵版,东风雷诺科雷傲挡把按钮和空调调节按钮损坏,"H168,",2020-08-25,信息审核
513785,奇瑞汽车,艾瑞泽EX,2019款 1.5L CVT 乐活版 国V,奇瑞艾瑞泽EX车身异响严重变速箱无法加速,"B334,H15,",2020-08-25,用户评分
513784,东风小康,风光330,2018款 1.5L 330S 精典型 国V DK15,东风风光330行驶中右后车轮半轴损坏,"G204,",2020-08-25,处理反馈
513782,一汽-大众奥迪,奥迪A4L,2016款 2.0T CVT 自标准型 典藏版,一汽大众奥迪A4L发动机节温器漏防冻液,"A37,",2020-08-25,信息审核
513779,东风标致,标致408,2014款 1.6T 自动 尊贵版,东风标致408电瓶亏电 4S店不解决问题,"H146,I295,",2020-08-25,处理反馈
513775,广汽本田,冠道,2019款 240TURBO 两驱 舒享版,广汽本田冠道后车窗密封条出现断裂,"H48,",2020-08-25,处理反馈
513772,上汽通用五菱,宝骏630,2011款 1.5L 手动 标准型,宝骏630漆面鼓包希望厂家处理,"H81,",2020-08-25,处理反馈
513755,东风悦达起亚,起亚K3,2016款 1.6L 自动 GLS,东风悦达起亚K3打方向时存在严重异响,"D59,",2020-08-25,处理反馈
513749,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L车窗升降异响 热车怠速抖动,"A9,E42,H72,",2020-08-25,信息审核
513748,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾新车行驶中变速箱异响,"B33,",2020-08-25,处理反馈
513746,吉利汽车,帝豪GL,2017款 1.3T 手动 精英型,吉利帝豪GL正常行驶中离合器失效影响使用,"C267,J298,J301,",2020-08-25,处理反馈
513745,江淮汽车,瑞风S3,2016款 1.5L 手动 豪华智能型,江淮瑞风S3前胎吃胎严重存在质量问题,"G245,",2020-08-25,处理反馈
513744,福特（进口）,探险者（进口）,2018款 2.3T 精英版,进口福特探险者变速箱外壳漏油希望处理,"B22,",2020-08-25,厂家受理
513738,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 上市专享版 国Ⅵ,一汽大众奥迪Q2L电瓶故障希望厂家处理,"H146,",2020-08-25,信息审核
513734,奇瑞新能源,艾瑞泽5e,2018款 450 智享版,奇瑞艾瑞泽5e空调不制冷希望处理,"H101,",2020-08-25,厂家受理
513732,吉利汽车,远景S1,2018款 1.4T CVT 锋驰型,吉利远景S1发动机抖动共振希望厂家处理,"A24,H268,",2020-08-25,处理反馈
513730,北京现代,索纳塔九,2016款 2.0L 自动 hybrid HE  智能型,北京现代索纳塔九配件不按时到货价格谎报,"K307,N320,",2020-08-25,处理反馈
513726,东风日产,奇骏,2014款 2.5L XV CVT 四驱 至尊版,东风日产奇骏变速箱顿挫无法加速,"B19,B334,",2020-08-25,处理反馈
513725,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜发白影响夜间照明,"H82,",2020-08-25,处理反馈
513716,东风本田,艾力绅,2016款 2.4L 经典版,东风本田艾力绅召回换燃油泵导致泄露汽油,"J300,",2020-08-25,处理反馈
513711,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版Pro,一汽大众探岳车机网络连接异常希望厂家处理,"H155,",2020-08-25,处理反馈
513707,长安马自达,马自达3 昂克赛拉,2017款 1.5L 自动 舒适型 三厢 国V,长安马自达昂克赛拉定损后4S店未喷漆,"N321,",2020-08-25,处理反馈
